Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
65a9334effcc5ed070df9171,611a45a99c4ee56ad9247e09,APPROVED,2024-01-18T14:19:02.095000Z,2024-01-18T14:48:42.787000Z,2024-01-18T16:27:27.224000Z,2024-01-18T14:48:43.919000Z,1781.0,CDH5AM11,665,"Turkish, English",32,Male,White,Turkey,United Kingdom,Turkey,Turkish,Yes,Part-Time,Not Applicable
65a93384ffcc5ed070df9186,64f3036a5b5f2feae0b1f51b,APPROVED,2024-01-18T14:19:55.907000Z,2024-01-18T14:51:23.387000Z,2024-01-18T16:27:22.637000Z,2024-01-18T14:51:24.691000Z,1888.0,CDH5AM11,608,English,33,Female,Other,Saint Helena,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),Not Applicable
65a933a483ce2adab5c60935,61199943b13201ca162206c6,APPROVED,2024-01-18T14:20:25.446000Z,2024-01-18T14:47:34.125000Z,2024-01-18T16:27:22.839000Z,2024-01-18T14:47:35.648000Z,1629.0,CDH5AM11,124,English,27,Female,White,United States,United Kingdom,United States,English,Yes,DATA_EXPIRED,Not Applicable
65a933bb1b65c1618a185020,5e950a4aef32a3375999451e,APPROVED,2024-01-18T14:21:22.451000Z,2024-01-18T14:49:19.046000Z,2024-01-18T16:27:23.032000Z,2024-01-18T14:49:20.033000Z,1677.0,CDH5AM11,446,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED,Not Applicable
65a934244c2be26251000290,5d5eca9f97f8b6001aee9594,APPROVED,2024-01-18T14:24:57.139000Z,2024-01-18T14:56:32.186000Z,2024-01-18T16:27:23.227000Z,2024-01-18T14:56:33.057000Z,1896.0,CDH5AM11,1572,"English, French",50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other,Not Applicable
65a934267cadc1df49062790,60de1d590358b86167255a80,APPROVED,2024-01-18T14:22:48.103000Z,2024-01-18T14:51:59.920000Z,2024-01-18T16:27:27.622000Z,2024-01-18T14:52:00.680000Z,1752.0,CDH5AM11,335,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,Not Applicable
65a934332701a2b73488d584,59e764b07d6df50001e68a9b,APPROVED,2024-01-18T14:22:49.204000Z,2024-01-18T14:54:40.243000Z,2024-01-18T16:27:23.424000Z,2024-01-18T14:54:41.102000Z,1912.0,CDH5AM11,545,English,74,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Not Applicable
65a9343b827c54ff445b26a1,63f8b081b083f1e1014cb21a,APPROVED,2024-01-18T14:23:01.655000Z,2024-01-18T14:54:10.057000Z,2024-01-18T16:27:30.176000Z,2024-01-18T14:54:10.876000Z,1869.0,NOCODE,546,"Urdu, English",33,Male,Asian,Afghanistan,United Kingdom,United Kingdom,Urdu,No,Full-Time,Not Applicable
65a9344783ce2adab5c60952,5f2c16aabf114905864692f9,APPROVED,2024-01-18T14:23:07.452000Z,2024-01-18T14:48:14.691000Z,2024-01-18T16:27:30.390000Z,2024-01-18T14:48:15.481000Z,1508.0,CDH5AM11,1196,English,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,Not Applicable
65a9345e3f6b4a6860f1c228,6016e3510ad8cc8a633834ab,APPROVED,2024-01-18T14:23:40.304000Z,2024-01-18T14:50:51.130000Z,2024-01-18T16:27:23.646000Z,2024-01-18T14:50:52.125000Z,1631.0,CDH5AM11,199,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
65a9346872fbf4033a83a1cb,62b9e1aed4b802b4e268125d,APPROVED,2024-01-18T14:24:25.136000Z,2024-01-18T14:55:26.232000Z,2024-01-18T16:27:30.604000Z,2024-01-18T14:55:27.075000Z,1862.0,CDH5AM11,1347,English,37,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED,Not Applicable
65a93472199cde2645be2e9a,6442a22876eacc2e85ba2673,APPROVED,2024-01-18T14:23:48.478000Z,2024-01-18T14:49:44.031000Z,2024-01-18T16:27:30.833000Z,2024-01-18T14:49:44.969000Z,1556.0,CDH5AM11,588,English,39,Male,White,Ireland,United Kingdom,Ireland,English,No,Full-Time,Not Applicable
65a934721e5ef915efbe2fa4,6148546e99d5bf0eeab4d4ca,APPROVED,2024-01-18T14:23:46.910000Z,2024-01-18T14:50:46.809000Z,2024-01-18T16:27:31.061000Z,2024-01-18T14:50:47.719000Z,1620.0,CDH5AM11,650,"French, English",20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,Not Applicable
