Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Colourblindness,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6674733facc9fa22383ad994,611e8bbe52b050f81208f7ea,APPROVED,Not Applicable,2024-06-20T18:21:56.306000Z,2024-06-20T19:10:14.045000Z,2024-06-24T11:29:26.156000Z,2024-06-20T19:10:14.475856Z,2898.0,CD9A7ZYU,554,English,"No, I have no issues seeing colours",40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6674734ad6e10fd05686104c,663f798d39ecd4d635e148e8,APPROVED,Not Applicable,2024-06-20T18:22:08.202000Z,2024-06-20T20:13:58.111000Z,2024-06-24T11:29:26.449000Z,2024-06-20T20:13:59.371952Z,6710.0,CD9A7ZYU,42,English,"No, I have no issues seeing colours",42,Male,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
66747355a9b2e39401663220,6100055d33f16a3c21e34bc5,APPROVED,Not Applicable,2024-06-20T18:22:33.992000Z,2024-06-20T19:06:37.808000Z,2024-06-24T11:29:26.739000Z,2024-06-20T19:06:58.207499Z,2644.0,CD9A7ZYU,1317,"English, Thai","No, I have no issues seeing colours",35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
667473609482d484d4e04627,6650f5030a15563b2658d5a0,APPROVED,Not Applicable,2024-06-20T18:22:29.185000Z,2024-06-20T19:13:38.037000Z,2024-06-24T11:29:27.028000Z,2024-06-20T19:14:00.343502Z,3069.0,CD9A7ZYU,55,"English, Welsh","No, I have no issues seeing colours",50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667473678aeb87e3c975882f,5d35989e71b4880017d5cc81,APPROVED,Not Applicable,2024-06-20T18:22:39.266000Z,2024-06-20T19:09:09.515000Z,2024-06-24T11:29:27.314000Z,2024-06-20T19:09:10.008382Z,2791.0,CD9A7ZYU,1521,English,"No, I have no issues seeing colours",24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6674736a74144acd60173521,5c7bc8ea5a669300172440fc,APPROVED,Not Applicable,2024-06-20T18:22:42.170000Z,2024-06-20T19:10:38.759000Z,2024-06-24T11:29:27.589000Z,2024-06-20T19:13:04.060316Z,2877.0,CD9A7ZYU,2355,English,"No, I have no issues seeing colours",41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
66747382a2c8332fac3dd06a,5cbb1374517cd00001310c43,APPROVED,Not Applicable,2024-06-20T18:23:12.961000Z,2024-06-20T19:12:11.082000Z,2024-06-24T11:29:27.869000Z,2024-06-20T19:13:15.585874Z,2939.0,CD9A7ZYU,927,English,"No, I have no issues seeing colours",29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Other
6674738d6bef7eae0db82e85,660d9ae9eb48e944156c6bfb,APPROVED,Not Applicable,2024-06-20T18:31:57.231000Z,2024-06-20T19:24:31.226000Z,2024-06-24T11:29:28.105000Z,2024-06-20T19:25:28.948337Z,3154.0,CD9A7ZYU,188,English,"No, I have no issues seeing colours",36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66747393db6ac812a4025032,63d13edbfc31f4ecf0122017,APPROVED,Not Applicable,2024-06-20T18:24:15.779000Z,2024-06-20T19:38:46.327000Z,2024-06-24T11:29:28.310000Z,2024-06-20T19:38:47.479071Z,4471.0,CD9A7ZYU,1236,English,"No, I have no issues seeing colours",34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667473a3127640d87c57fe05,6614c7e8dbaa9c1010d8b608,RETURNED,Not Applicable,2024-06-20T18:31:12.461000Z,2024-06-20T18:32:26.784000Z,,2024-07-08T15:41:45.539894Z,,CEG0G0I7,200,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667473b50d3b79c4c99bec75,5d95dfca33f8930017e85486,APPROVED,Not Applicable,2024-06-20T18:23:56.088000Z,2024-06-20T19:17:50.748000Z,2024-06-24T11:29:28.514000Z,2024-06-20T19:17:51.155404Z,3235.0,CD9A7ZYU,1581,English,"No, I have no issues seeing colours",47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
667474bc1b74223f7c422e86,63d1404712c3f98874867c5c,APPROVED,Not Applicable,2024-06-20T18:34:34.507000Z,2024-06-20T19:41:00.163000Z,2024-06-24T11:29:28.745000Z,2024-06-20T19:41:15.301771Z,3986.0,CD9A7ZYU,945,English,"No, I have no issues seeing colours",27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667474caffbb5cc37d6d264f,6651e1661b8d1a6b23f4e4d1,APPROVED,Not Applicable,2024-06-20T18:29:32.041000Z,2024-06-20T19:17:41.321000Z,2024-06-24T11:29:29.009000Z,2024-06-20T19:17:41.825653Z,2890.0,CD9A7ZYU,73,"Chinese, English","No, I have no issues seeing colours",31,Female,Asian,Australia,United Kingdom,Australia,English,No,Full-Time
66747639bbd8c03039123e40,5ea9e36155624e14a9a64525,APPROVED,Not Applicable,2024-06-20T18:34:44.162000Z,2024-06-20T19:22:55.509000Z,2024-06-24T11:29:29.286000Z,2024-06-20T19:24:34.671357Z,2892.0,CD9A7ZYU,2340,English,"No, I have no issues seeing colours",35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
667477287dda33d96f2ef47a,62e154f05a9102fd27cdf5fd,APPROVED,Not Applicable,2024-06-20T18:38:50.823000Z,2024-06-20T19:21:20.318000Z,2024-06-24T11:29:29.569000Z,2024-06-20T20:23:13.093048Z,2550.0,CD9A7ZYU,630,"English, Scots","No, I have no issues seeing colours",34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66747a573e0c453308b42331,65b6e2068a64315ecc01b3a5,APPROVED,Not Applicable,2024-06-20T18:52:21.621000Z,2024-06-20T20:05:56.380000Z,2024-06-24T11:29:29.858000Z,2024-06-20T20:05:56.753599Z,4415.0,CD9A7ZYU,525,English,"No, I have no issues seeing colours",45,Male,White,United States,United States,United States,English,No,Full-Time
667486d58b86bf77d5906944,5f625539ecec8c13b04d83e3,APPROVED,Not Applicable,2024-06-20T19:51:44.300000Z,2024-06-20T20:44:49.484000Z,2024-06-24T11:29:30.155000Z,2024-06-20T20:46:53.769145Z,3186.0,CD9A7ZYU,544,English,"No, I have no issues seeing colours",23,Male,Asian,Canada,United States,China,English,No,DATA_EXPIRED
66748a759b1427d8cc737166,657be8ab536ad72849206f38,APPROVED,Not Applicable,2024-06-20T20:01:06.476000Z,2024-06-20T20:40:24.949000Z,2024-06-24T11:29:30.657000Z,2024-06-20T20:40:25.429946Z,2359.0,CD9A7ZYU,55,English,"No, I have no issues seeing colours",26,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
